# clang-tidy 20 legacy diagnostic baseline
# New exceptions belong in source as exact, justified NOLINT directives.
include/aiforge/adapters/audio_backend.hpp	bugprone-implicit-widening-of-multiplication-result	702246febf239ba96a40	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/adapters/audio_backend.hpp	bugprone-implicit-widening-of-multiplication-result	b6b9ea65b674a2f55132	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/adapters/filesystem_artifact_store.hpp	bugprone-implicit-widening-of-multiplication-result	97d3a171f05e2fa5a8de	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/adapters/image_backend.hpp	bugprone-implicit-widening-of-multiplication-result	77cc3e4710e8d081b641	performing an implicit widening conversion to type 'std::uint64_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/adapters/image_backend.hpp	bugprone-implicit-widening-of-multiplication-result	8d4939a1a2ac207862d9	performing an implicit widening conversion to type 'std::uint64_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/adapters/image_backend.hpp	bugprone-implicit-widening-of-multiplication-result	bd9b36e737b77e5267c4	performing an implicit widening conversion to type 'std::uint64_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/adapters/image_backend.hpp	bugprone-implicit-widening-of-multiplication-result	cc3031453e535036c2ab	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/adapters/image_backend.hpp	bugprone-implicit-widening-of-multiplication-result	ef1829565109e8ecbc38	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/adapters/json_model_catalog_cache.hpp	bugprone-implicit-widening-of-multiplication-result	2e27720470e8a4f4d66e	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/adapters/process_draft_editor.hpp	bugprone-implicit-widening-of-multiplication-result	c1f9d0665ddf5bdf20d7	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/adapters/process_interactive.hpp	readability-inconsistent-declaration-parameter-name	f8258586c3c8c1b51962	function 'aiforge::adapters::ProcessInteractiveCommand::execute' has a definition with different parameter names
include/aiforge/adapters/process_one_shot.hpp	bugprone-implicit-widening-of-multiplication-result	204ee95374e8a66a0ab1	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/audio/wav.hpp	bugprone-implicit-widening-of-multiplication-result	c38025a9a90041989c7c	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/cli/command_registry.hpp	bugprone-implicit-widening-of-multiplication-result	30f73d18856886f10e96	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/cli/command_registry.hpp	bugprone-implicit-widening-of-multiplication-result	6a8a5151002c24ce68a0	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/cli/command_registry.hpp	bugprone-implicit-widening-of-multiplication-result	a8e231b84976e1aa4c3f	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/cli/command_registry.hpp	misc-no-recursion	0ab8342fa2cd24b26deb	function 'CommandSpec' is within a recursive call chain
include/aiforge/config/config.hpp	bugprone-implicit-widening-of-multiplication-result	73a557941674abb87a9a	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/credentials/credential.hpp	bugprone-implicit-widening-of-multiplication-result	7fcbae6c5e5808e09142	performing an implicit widening conversion to type 'const std::size_t' (aka 'const unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/domain/context.hpp	cppcoreguidelines-pro-type-member-init	60f58c19b7b80f07aee3	constructor does not initialize these fields: kind
include/aiforge/domain/context.hpp	cppcoreguidelines-pro-type-member-init	72c9f183700cd48e463b	constructor does not initialize these fields: decision
include/aiforge/domain/context.hpp	cppcoreguidelines-pro-type-member-init	e2fd30cd6e9193bd9f08	constructor does not initialize these fields: layer
include/aiforge/domain/memory.hpp	bugprone-implicit-widening-of-multiplication-result	2aa8c4019b505f6469f3	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
include/aiforge/domain/memory.hpp	bugprone-implicit-widening-of-multiplication-result	306cb4459d04b142fad5	performing an implicit widening conversion to type 'std::size_t' (aka 'unsigned long') of a multiplication performed in type 'unsigned int'
